@relation LOAN

@attribute Married numeric
@attribute Dependents numeric
@attribute Education numeric
@attribute Self_Employed numeric
@attribute ApplicantIncome numeric
@attribute CoapplicantIncome numeric
@attribute LoanAmount numeric
@attribute Loan_Amount_Term numeric
@attribute Property_Area numeric
@attribute Loan_Status {1.0,2.0}

@data
2,2,1,1,14866,0,70,360,1,2.0
2,0,1,1,2583,2115,120,360,1,2.0
1,0,1,2,16250,0,192,360,1,1.0
1,1,1,1,37719,0,152,360,2,2.0
1,0,1,1,3086,0,120,360,2,2.0
1,0,1,1,2500,0,96,480,2,1.0
1,0,1,1,3167,0,74,360,1,1.0
1,-1,1,1,5417,0,143,480,1,1.0
1,1,1,1,4723.895427,0,125.261292,360,3,1.0
1,1,1,-1,3667,0,113,180,1,2.0
2,0,1,1,6021.80227,2006.84084,185.74659,463.052428,3,1.0
1,0,1,1,10736.568256,0,189.160963,360,1,1.0
2,0,1,1,3033,1459,95,360,1,2.0
2,0,1,1,7826.69149,0,150.865815,360,1,1.0
2,2,1,1,3800,3600,216,360,1,1.0
2,2,1,1,6250,1695,210,360,2,2.0
2,0,1,1,5499.538979,6537.447986,459.165993,360,2,1.0
2,0,1,1,2439,3333,129,360,3,2.0
2,0,2,1,6096,0,218,360,3,1.0
2,0,1,1,3173,3021,137,360,1,2.0
2,1,1,1,8072,240,253,360,1,2.0
1,0,1,1,3500,0,81,300,2,2.0
2,1,1,2,8666,4983,376,360,3,1.0
1,2,1,1,4354,0,136,360,3,2.0
2,0,2,1,2167,2400,115,360,1,2.0
1,0,1,2,5166,0,128,360,2,2.0
1,0,1,1,8750,4167,308,360,3,1.0
2,2,1,1,1299,1086,17,120,1,2.0
2,0,1,1,2213,1125,-1,360,1,2.0
1,0,1,1,4166,0,98,360,2,1.0
1,0,1,1,14812.547536,565.950138,300.680573,360,1,1.0
2,0,2,2,7142,0,138,360,3,2.0
1,0,1,-1,7616.406956,0,204.819723,360,1,1.0
2,0,2,1,2917,536,66,360,3,1.0
2,0,1,2,2479,3013,188,360,1,2.0
1,0,1,1,4124,0,115,360,2,2.0
2,2,2,1,4200,1430,129,360,3,1.0
2,0,1,1,1977,997,50,360,2,2.0
1,0,1,1,5000,0,132,360,3,2.0
1,0,2,1,3620,0,25,120,2,2.0
2,2,1,1,2301,985.799988,78,180,1,2.0
2,0,1,1,8651.049439,0,196.626519,339.061117,2,1.0
2,0,1,1,3500,1667,114,360,2,2.0
1,0,1,1,9850.995592,1616.63107,238.454923,360,1,1.0
1,0,1,1,3418,0,127.273201,360,3,1.0
2,0,1,1,20833,6667,480,360,1,2.0
1,0,1,2,10416,0,187,360,1,1.0
1,-1,1,1,2833,0,71,360,1,2.0
2,0,1,1,6133,3906,324,360,1,2.0
2,3,1,1,15000,0,300,360,3,2.0
2,2,2,1,2309,1255,125,360,3,1.0
1,0,1,-1,2764,1459,110,360,1,2.0
1,2,1,-1,3750,2083,120,360,2,2.0
2,2,1,2,16525,1014,150,360,3,2.0
1,0,2,1,2333,1451,102,480,1,1.0
2,2,2,1,2281,0,113,360,3,1.0
2,1,1,2,11500,0,286,360,1,1.0
1,0,1,1,4316.465879,0,115.577449,360,2,1.0
1,0,1,2,6950,0,175,180,2,2.0
2,1,1,1,4283.278504,2980.330007,132.910563,92.098922,1,1.0
2,1,1,1,6065,2004,250,360,2,2.0
2,0,1,1,4286.101129,2806.135604,129.066658,151.310055,1,1.0
1,0,1,1,6468.564767,0,115.330097,360,3,1.0
2,0,1,1,3775,0,110,360,2,2.0
1,0,2,1,4885,0,48,360,3,2.0
1,0,1,1,1819.224514,2069.625135,127.003749,360,1,1.0
1,0,1,1,2500,20000,103,360,2,2.0
1,3,1,1,9167,0,185,360,3,2.0
1,0,2,1,6045,0,115,360,3,1.0
2,3,1,1,5065.748846,0,92.522914,334.76465,2,1.0
1,0,2,-1,7333,0,120,360,3,1.0
1,0,1,1,15689.900053,0,215.280605,360,1,1.0
2,1,1,1,18333,0,500,360,1,1.0
1,0,1,1,3104.747951,0,112.340461,371.337426,1,1.0
2,0,1,1,3208,3066,172,360,1,2.0
1,0,1,1,5417,0,168,360,1,2.0
2,0,1,1,4222.701948,2449.164804,118.229638,360,1,1.0
2,0,1,1,2775.731298,1908.980908,138.470278,353.228446,2,1.0
2,0,2,1,2720.75292,1571.272728,187.235423,360,1,1.0
2,0,1,1,2920,16.120001,87,360,3,2.0
1,0,1,1,3069,0,71,480,1,1.0
2,0,1,1,3327.58774,2203.849436,135.024582,360,1,1.0
2,0,1,1,2698,2034,122,360,2,2.0
2,0,1,1,2297,1522,104,360,1,2.0
1,3,1,1,3083,0,255,360,3,2.0
2,2,1,1,4009,1717,116,360,2,2.0
1,0,1,1,15995.974957,0,213.031891,360,1,1.0
2,1,1,2,1000,3022,110,360,1,1.0
2,0,2,2,4344,736,87,360,2,1.0
2,1,1,2,2895,0,95,360,2,2.0
2,0,1,1,2174.660686,3419.770635,151.99583,360,1,1.0
1,0,1,1,4160,0,71,360,2,2.0
1,0,1,1,12000,0,164,360,2,1.0
2,1,1,1,3988,0,50,240,1,2.0
1,0,2,1,3975,2531,55,360,3,2.0
1,1,1,1,2876,1560,90,360,1,2.0
2,2,1,1,5000,3667,236,360,2,2.0
2,0,1,1,3399.755313,4222.248329,144.2255,255.663343,3,1.0
2,0,1,1,5008.167628,0,100.668504,360,1,1.0
2,1,1,1,5468,1032,26,360,2,2.0
1,0,1,1,4000,2275,144,360,2,2.0
1,0,1,1,2917.289474,0,47.832776,194.051296,1,1.0
2,3,1,1,3466,3428,150,360,3,2.0
1,0,1,1,9954.085113,4087.445792,257.199,296.982169,3,1.0
2,2,1,2,5417,4196,267,360,1,2.0
1,0,1,1,8333,3750,187,360,3,2.0
2,0,1,1,2130,6666,70,180,2,1.0
2,0,1,1,7578,1010,175,-1,2,2.0
2,0,1,1,2383,2138,58,360,3,2.0
1,-1,1,1,3813,0,116,180,1,2.0
2,0,1,1,517.170107,1958.704244,118.259602,360,1,1.0
1,0,1,1,2366,2531,136,360,2,2.0
1,0,2,1,3748,1668,110,360,2,2.0
2,0,1,1,5928.359158,3178.895394,214.288217,360,3,1.0
1,0,1,1,2277.830361,0,79.922221,466.234087,3,1.0
1,0,1,1,645,3683,113,480,3,2.0
1,0,1,1,2814.910704,0,65.959656,43.984975,1,1.0
1,0,1,2,3463,0,122,360,1,2.0
1,0,2,1,3691,0,110,360,3,2.0
1,0,2,1,6161.019865,0,138.208339,360,3,1.0
2,0,1,2,2577,3750,152,360,3,2.0
2,2,2,1,4226,1040,110,360,1,2.0
2,1,2,1,2600,2500,90,360,2,2.0
2,1,1,1,6083,4250,330,360,1,2.0
1,0,1,1,4680,2087,-1,360,2,1.0
1,0,1,1,6397.1228,0,36.679146,360,3,1.0
2,-1,2,2,4735,0,138,360,1,1.0
2,0,1,1,2330,4486,100,360,2,2.0
2,0,1,1,2473,1843,159,360,3,1.0
1,0,2,1,2927,2405,111,360,2,2.0
2,0,1,-1,3539,1376,55,360,3,1.0
1,0,1,1,6277,0,118,360,3,1.0
2,0,1,1,1025,5500,216,360,3,2.0
2,0,1,1,2456.044348,1846.576632,132.38224,360,1,1.0
2,0,1,2,39147,4750,120,360,2,2.0
2,3,2,1,3522,0,81,180,3,1.0
2,1,2,1,2510,1983,140,180,1,1.0
2,2,2,1,3357,2859,144,360,1,2.0
2,0,1,1,1820,1719,100,360,1,2.0
2,0,1,1,3631.108623,2388.703081,169.10263,360,3,1.0
2,0,1,1,4961.180757,0,115.058465,360,2,1.0
2,2,1,2,4583,2083,160,360,2,2.0
1,0,1,-1,3418,0,135,360,3,1.0
2,0,1,1,4946.114273,0,124.336615,360,2,1.0
1,0,1,1,4683,1915,185,360,2,1.0
1,1,1,1,3541,0,112,360,2,2.0
1,0,1,-1,12876,0,405,360,2,2.0
1,0,1,1,2680.035795,0,103.547571,404.451659,2,1.0
1,0,1,1,4462.912128,2426.847927,41.11975,360,1,1.0
2,2,1,2,6633,0,-1,360,3,1.0
2,2,2,2,1875,1875,97,360,2,2.0
1,0,1,1,2917,0,84,360,2,2.0
1,1,1,1,3481,0,155,36,2,1.0
1,0,1,1,2500,0,55,360,2,2.0
2,2,2,1,3333,2000,99,360,2,2.0
2,1,1,1,9273.084979,11271.435675,372.263575,360,1,1.0
2,3,1,1,2666,2083,95,360,3,2.0
1,0,1,1,2479,0,59,360,1,2.0
2,1,1,2,16667,2250,86,360,2,2.0
2,2,1,1,3510,4416,243,360,3,2.0
2,0,1,1,11146,0,136,360,1,2.0
1,0,1,1,3510,0,76,360,1,1.0
2,2,1,1,2957,0,81,360,2,2.0
2,0,2,1,2950.254956,3390.416528,42.862811,360,1,1.0
1,0,2,1,2000,0,-1,360,1,1.0
2,0,1,1,3625,0,108,360,2,2.0
1,0,1,1,1853,2840,114,360,3,1.0
2,0,1,1,3361.744782,1874.300892,144.134915,360,3,1.0
1,0,1,1,1836,33837,90,360,1,1.0
2,2,1,1,3900,0,90,360,2,2.0
1,0,1,-1,3182,2917,161,360,1,2.0
2,2,2,1,3917,0,124,360,2,2.0
1,0,1,1,2400,1863,104,360,1,1.0
2,1,1,2,19484,0,600,360,2,2.0
2,3,1,1,4691,0,100,360,2,2.0
2,2,2,2,6383,1000,187,360,3,1.0
2,3,2,1,3095,0,113,360,3,2.0
1,0,1,1,6428.277721,0,103.422546,360,3,1.0
2,0,2,1,3010,3136,-1,360,1,1.0
1,0,1,1,2935,0,98,360,2,2.0
2,0,1,1,3948,1733,149,360,3,1.0
1,0,2,1,2720,0,80,-1,1,1.0
2,2,1,1,2947,1603,-1,360,1,1.0
2,0,1,1,2132,1591,96,360,2,2.0
2,1,1,1,3643.089613,2546.788781,149.926847,360,1,1.0
1,1,1,2,4692,0,106,360,3,1.0
2,0,1,1,2454.79457,2327.27912,152.745699,226.016271,1,1.0
2,0,2,1,4300,2014,194,360,3,2.0
2,0,1,1,4600,0,73,180,2,2.0
2,1,1,1,3326,913,105,84,2,2.0
2,3,1,1,4000,7750,290,360,2,1.0
